year,area_code,area,identity,pay_type,pay,confidence
2012,00BC,Redbridge,Female,Hourly,13.1,7
2013,00BC,Redbridge,Female,Hourly,12.58,5.8
2014,00BC,Redbridge,Female,Hourly,13.49,5.7
2015,00BC,Redbridge,Female,Hourly,13.12,6.4
2016,00BC,Redbridge,Female,Hourly,13.22,5.2
2017,00BC,Redbridge,Female,Hourly,13.29,6.3
2018,00BC,Redbridge,Female,Hourly,13.42,5.1
2019,00BC,Redbridge,Female,Hourly,13.73,5.5
2002,00BD,Richmond upon Thames,Female,Hourly,13.4,6.3
2003,00BD,Richmond upon Thames,Female,Hourly,14.8,6.6
2004,00BD,Richmond upon Thames,Female,Hourly,14.7,8.5
2005,00BD,Richmond upon Thames,Female,Hourly,15,6.9
2006,00BD,Richmond upon Thames,Female,Hourly,15.6,6.3
2007,00BD,Richmond upon Thames,Female,Hourly,15,9.1
2008,00BD,Richmond upon Thames,Female,Hourly,16.09,9.2
2009,00BD,Richmond upon Thames,Female,Hourly,15.65,5.8
2010,00BD,Richmond upon Thames,Female,Hourly,15.83,6.6
2011,00BD,Richmond upon Thames,Female,Hourly,17.03,6.8
2012,00BD,Richmond upon Thames,Female,Hourly,17.76,6
2013,00BD,Richmond upon Thames,Female,Hourly,18.05,8.2
2014,00BD,Richmond upon Thames,Female,Hourly,16.73,9.9
2015,00BD,Richmond upon Thames,Female,Hourly,16.94,6.1
2016,00BD,Richmond upon Thames,Female,Hourly,17.89,7.9
